公共组管理											
任务大项	任务标题	任务描述	任务拆分	负责人	关联人	优先级	开始时间	完成时间	进度状态	进展描述	备注
代码版本规范	分支管理	依据项目计划，规划前后端分支，分支名称前后端保持一致，分支命名规范，打包后程序的命名规范统一，打包时jar包是否添加版本号（要求中电提供版本回退功能）	制定《分支管理规范文档》规划5个标准分支DEV，SIT，UAT，PROD，master	刘贵斌							
			建立前后端分支命名对照表	贾留洋							
			设计打包脚本与版本号标签策略	王微							
			实现版本回退流程（结合CI/CD）与中电沟通，提需求	王微							
											
	提交规范	对于各分支提交注释，提交规范文档编写，提交要求	编写《Git提交规范》组织规范培训与代码审查机制	刘贵斌							
			开发提交前验证脚本（pre-commit hook）	王微							
	分支合并规范	"开发要拉自己的开发分支进行编写代码与提交合并请求，避免整个分支覆盖，形成分支版本隔离，避免大面积影响，做到快速回退
禁止在gitlab页面上解决冲突，会导致两个分支综合合并，拉取代码本地解决，后再次提交合并请求"	制定《分支合并与冲突解决流程》	刘贵斌							
	各环境发版规范	各环境发版时间要求，发版通知要求	"制定《多环境发版管理规范》
建立发版日历与通知模板
设计发版审批流程"	刘贵斌							
	数据库脚本编写规范	遵循查询、备份、执行、回退规范进行脚本编写，以及脚本命名规范	"编写《数据库脚本开发与部署规范》
设计脚本版本管理工具或流程
建立脚本执行日志与回滚机制"	刘贵斌							
	版本管理员工作清单	"数据字典变更检查流程执行
代码合并检查流程并执行
数据库变更检查流程并执行
整个分支反向合并固定动作，开发为正向合并请求，版本管理员需要反向合并以便对齐分支代码，比如UAT反向合并DEV,SIT，防止开发不遵循代码合并规范漏掉
定时清理1个月前分支
检查对比IPC各环境基础数据差异"	"制定《版本管理员操作手册》
开发自动化检查脚本（字典、代码、数据库）
建立分支清理与合并审计机制
定时输出环境差异报告"	刘贵斌							
	分批次代码版本管理	根据投产计划分批次进行封板管理，明确各批次内容、时间节点与上线步骤。	明确各批次内容、时间节点，输出批次上线计划表（批次号，时间，内容）	谢世雄							
			制定每个批次的上线计划（开发计划、测试计划、安全测试、性能测试、投产演练、投产方案等投产所有准备动作、投产部署、技术验证、业务绿灯、生产运维）	王微							
			细化每个批次计划中的环境搭建、代码分支版本、数据库版本、初始化数据版本，上线步骤、投产时序、部署手册等全流程公共架构组的任务排期	刘贵斌							
											
	私服部署备份与管理	"创建多个Maven私服空间，按环境，防止一个公共组件推送到私服后，无法做环境隔离，备份是防止私服服务崩溃丢失私有服务组件
1-当前私服管理在中电，多空间未必可行
2-私服推送需要管控，手工推送"	"多环境，多版本，多公共服务版本管理方案
使用开发与测试环境分开的Maven私服空间方案"	刘贵斌							
	gitlab的代码备份与通知	防止gitlab服务崩溃丢失整个代码记录	给中电提需求做代码备份，先沟通反馈结果	刘贵斌							
	部署多套天元平台	减少项目开发并发导致天元平台部署缓慢，以及避免前端整体无法工作	增加天元前后端部署多套，使用同一数据库，数据库每日备份	王微							
	版本变更登记表	包含代码、参数，脚本，码值等变更登记，逐步形成标准流程，明确变更内容，以便正确决策版本变更，在内网使用系统审核，以便同步管理组、需求组、开发组、批量组、迁移组，最后由版本管理员审核流程，并最终执行	内网部署在线服务，接审批功能，一定拉通上下游，数据迁移，批量服务，联机交易接口	王微							
			输出变更管理流程，监督流程执行	刘贵斌							
	日常版本发布登记表	除开发环境其他环境改为集中发版，在固定地方登记发版需求，由版本管理员按照登记表集中发布	编写发版规范公告，跟踪执行情况	刘贵斌							
			使用自开发程序表格管理，刘贵斌提供基础程序包	王微							
	前后端制品流水线	前后端各微服务使用标准的流水线脚本编译制品	后端制品脚本标准化	王微							
			前端制品脚本标准化	王微							
			后端服务制品时长优化	王微							
			前端服务制品时长优化	王微							
数据库管理	数据库表结构管理	数据库规划	数据库服务规划，数据库用户以及权限规划	王微							
		数据库表设计文档	"形成一份标准的数据库设计文档，用来定时检查各环境与标准文档的数据库表，字段，字段类型，字段长度，字段精度，表索引等差异，以便定时检查程序执行
同时，也方便开发进行查询已有的字段，按照已有的字段进行增加，保持项目组内部上下游、关联系统上下游，数据迁移、批量装卸数、接口设计等各系统保持统一，减少错误数据，业务逻辑错误以及转换问题"	刘贵斌							
		数据库表结构检查	编写定时比对程序输出检查结果，飞秋通知，跟踪执行，以及强制执行	刘贵斌							
		数据库表索引检查	编写定时比对程序输出检查结果，飞秋通知，跟踪执行，以及强制执行	刘贵斌							
		数据库表分区策略	"数据库分片与数据库表分区区别，方案选择与行方评审
目前选择方案是数据库表分区，需要各组对业务表进行分析，标记要表分区的大表，确定分区键，分区策略，SQL使用分区键"	刘贵斌							
		数据库表清理策略	需要各组对业务表进行8-10年增长量分析，进行清理归档策略说明，标记在数据库设计文档中提交行方评审	刘贵斌							
		查询库抽数表标记	在数据库表设计文档中是否查询库表表列进行标记是否	刘贵斌	唐铭						
		静态库读写表标记	在数据库表设计文档中是否静态库表表列进行标记是否	刘贵斌	唐铭						
		数据标准管理	形成一份标准的数标文档，用来定时检查数据库落标情况，如果已存在，请编写使用说明，以便开发在新增字段时按标准执行	刘贵斌							
		数据落标检查	编写定时比对程序输出检查结果，飞秋通知，跟踪执行，以及强制执行	刘贵斌							
	数据库链接参数	数据库服务端参数标准	"记录日常数据库问题，确认运维服务端参数设定，如数据库会话超时时间，数据库集群会话数
1. 超时时间检查
检查数据库配置信息：设置>=1000000000us
show variables where Variable_name like 'ob_query_timeout';
show variables where Variable_name like 'ob_trx_timeout';
2. open_cursors设置过小，OB标准建议为1000；可根据实际硬件资源配置及使用情况进行调增；
2.1、查看当前cursors设置
show parameters like '%cursors%';
2.2、临时调整cursors设置(无需重启)
alter system set open_cursors = 2000;
2.3、永久调整cursors设置(需重启)
alter system set open_cursors = 2000 scope=spfile;
3. 默认max_allowed_packet参数较小会导致工作流导入数据失败
    调整max_allowed_packet参数：set global max_allowed_packet = 1048576000;
类似以上参数管理，写在部署手册中"	李富强							
		数据库客户端标准连接参数	数据库驱动与数据库连接参数标准化，保证所有环境的数据库参数保持一致，并在性能测试环境进行充分验证	李富强							
	查询库管理	抽取信贷多个数据库多个指定表数据形成的一个查询库，避免多数据源	"根据数据库设计文档汇总输出《查询库表清单》
同步给英方软件协同配置数据同步服务"								
	静态库管理	满足7*24小时，保留核心切日时的时点数据，用来供批量服务使用	"根据数据库设计文档汇总输出《查询库表清单》
同步给英方软件协同配置数据同步服务"								
											
											
											
											
	数据字典项管理	主要涉及内外部系统上下游字典统一，以及数据迁移，批量装数卸数，联机交易接口等字典项差异，会导致业务逻辑错误	已有全量数据字典表格，制定《管理规范与变更流程》宣讲并跟踪执行，然后日常管理落基准库	刘贵斌							
	基库建立与管理	创建基准数据库，管理表结构变更，管理初始化参数	依赖制定《管理规范与变更流程》后彻底接收按规范管理	张勋文							
	基础参数分类管理	"天元运行态、机构用户角色、转授权规则、工作流配置、风控规则包、电子文档基础数据与模版等等基础数据，要明确到底有多少表需要初始化，每个初始化的表是属于什么功能业务场景，应该有多少数据，数据来源是哪里，怎么在基准数据库管理
根据分类输出初始化参数清单
根据初始化参数清单输出初始化数据库表清单"	完善初始化场景分类清单（要包含技术类场景与表清单匹配）	张勋文							
			完善初始化表清单（要包含工作流、批量调度、规则引擎、风控引擎等技术库表）统计汇总表数量	张勋文							
			按场景分类业务类创建禅道任务交由需求与业务沟通提供数据	张勋文							
			根据需求提供数据补充Excel表数据，生成SQL语句，检核业务数据，反馈数据准确性，反复收集完善后，登记各表完成状态	张勋文							
			逐步把完成的初始化表数据，入基础库，收掉基础库所有权限，仅由自己管控	张勋文							
			制定《基准库管理规范》，并宣讲监督跟踪执行	刘贵斌							
			制定《基准数据清洗策略》以及清洗流程（铲掉各测试环境基础数据，以基准数据库中的数据覆盖各环境初始化数据，避免仅改变环境数据未入基准数据库），排除系统管理用户、用户角色，用户机构、电子文档，工作流等影响在途测试的表	王微							
			编写导出，导入脚本，编写操作说明文档，执行清洗初始化数据事项，遵循先通知，后强制模式	王微							
			制定《初始化表范围变更流程》，增加或减少初始化表范围	刘贵斌							
											
											
环境管理	服务器资源清单	按环境进行管理，包含操作系统，服务器目录规划，用户组，用户权限，预装的JDK版本，部署的服务名称，CPU，MEM，DISK大小规格，宝蓝德的版本，操作系统参数及句柄数	内网部署在线服务，基本维护（优先使用表格）	王微							
	数据库资源清单	按环境管理，包含数据库类型、数据库基本规格，数据库数据量	内网部署在线服务，基本维护（优先使用表格）	王微							
	共享存储资源清单	按环境管理，哪些服务使用NAS共享盘，具体做什么用，NAS数量，NAS盘目录规划，要全环境统一标准	内网部署在线服务，基本维护（优先使用表格）	王微							
	中间件Redis资源清单	按环境管理，共多少Redis，Redis规格	内网部署在线服务，基本维护（优先使用表格）	王微							
	域名以及SLB资源清单	按环境管理，需要申请域名的服务是哪些、域名支持https，域名是否跨中心	内网部署在线服务，基本维护（优先使用表格）	王微							
	上游环境配置信贷参数清单	按环境管理，具体哪些系统需要信贷的具体哪些参数梳理，以便变更环境，变更参数时及时通知，减少关联系统联调错误	内网部署在线服务，基本维护（优先使用表格）	王微							
	信贷配置下游环境参数清单	按环境管理，需要梳理新信贷具体配置了哪些下游参数地址类信息，以便日常排查问题，快速定位，以及规划环境时提前索取，并快速初始化一套环境	内网部署在线服务，基本维护（优先使用表格）	王微							
	信贷环境信息对外通知清单	按环境管理，一旦信贷进行变更或初始化环境，及时通知关联系统进行更新或配置	内网部署在线服务，基本维护（优先使用表格）	王微							
	网络关系拓扑图（含服务端口）	"新信贷PC/PAD/PHONE三种渠道入口进来后，网络链路分布，包含互联网、防火墙、DMZweb区
按照网络拓扑图，确认手机端公网域名
按照网络拓扑图，确认PAD端公网域名
按照网络拓扑图，确认PC端内网域名
确认HTTPS挂载证书"	已有，更新梳理	王微							
			按照网络拓扑图，确认手机端公网域名	王微							
			按照网络拓扑图，确认PAD端公网域名	王微							
			按照网络拓扑图，确认PC端内网域名	王微							
			确认HTTPS挂载证书	王微							
			充分分析两地三中心各关联系统部署情况（是否多中心，是否云上，是否同一个云网络、是否直连，是否文件传输，是否设计互联网）								
	新信贷作为服务方接口清单	新信贷提供了哪些具体什么功能的接口服务，具体哪些关联系统在调用	内网部署在线服务，基本维护（优先使用表格）	王微							
	新信贷作为消费方接口清单	新信贷依赖具体哪些关联系统的具体什么功能接口	内网部署在线服务，基本维护（优先使用表格）	王微							
	测试环境与生产环境差异	测试环境与生产环境的差异，主要是部署时的差异	编写部署手册，每一个动作都要登记，并且考虑提效，减少中间过程，编写脚本，参考XXX样例，达到人人都可按照部署手册一步步傻瓜操作，即可完成部署，检查，交付	王微							
环境参数	环境规划清单（含时间轴）	具体什么时间交付什么环境？哪些环境是复用的，以便在指定时间交付环境	按照测试计划，提前一个月申请环境，提前一周部署	王微							
	信贷环境与关联系统环境映射	新信贷环境可能存在对应的关联系统不存在，比如新信贷有SIT2环境，CA系统只有一个SIT环境，要清楚的登记新信贷一套环境对应的关联系统的环境，以及环境参数（IP或域名）	制定《新信贷与关联系统映射关系表》	王微							
	配置中心YAML文件以及参数清单	按环境管理，各微服务需要配置的参数，yaml文件名，参数key，参数value，参数含义，使用场景	制定《nacos配置清单》Excel	王微							
			修改配置使用Excel生成yml标准程序	王微							
	前端NGINX服务配置参数清单	按环境管理，基本公共的通讯配置，服务所需的server配置、location路由配置	制定《Nginx配置清单》Excel	王微							
			修改配置使用Excel生成conf标准程序	王微							
