待办事项	事项描述
组会安排架构事项	
数据库文档差异检查，分发各组改进任务	
统计查询子应用分包	天元前端进行分包把统计查询分出单独信贷子应用，并输出分包拆分步骤文档
数据库列表清单	信贷负责的数据库清单，包含序号 环境类型 数据库名称 超管用户 实例类型 实例名称 链接地址 资源配置 数据库 业务用户 业务密码 备注说明
数据库分片方案与执行--清单数据量	整理业务数据库表清单，与迁移沟通数据库数据量，以及讨论8-10年增长数据量
环境规划-总环境清单	"1、环境作用
2、生命周期
3、关联系统（哪环境必须带关联系统）
4、搭建计划
5、各套环境代码版本管理机制及代码同步策略
6、明确哪套环境要支持切日（长周期）
7、明确哪套环境需要铺底数据
具体的环境规划，共N套环境，各环境生命周期，对应关联系统的切换
表格字段：序号 环境分类 环境名称 硬件数量 CPU(核) 内存(GB) 存储(GB) 优先级 环境用途 外围系统环境准备 预计使用时间 备注"
数据库索引基础文档	"1-修改数据库索引文档
2-修改索引比对创建程序
---------------------------
1、针对数据库表设计文档，在索引SHEET页中，索引类仅支持：“唯一索引”“普通索引”“分区索引”，且“索引字段”必须在表中存在，这个很重要，要为大家统一建立索引。
2、针对数据库表设计文档，在目录SHEET也中，分区键写法规范：采用range模式则RANGE(字段英文名)，如：RANGE(cust_no);采用hash模式则HASH(字段英文名)，如：HASH(create_time)。
3、内测环境下午将重做数据库，大家如果有需要抽数备份的及时抽数备份。
4、特别注意做为分区键的字段，如果增加索引，必须标注分区索引。"
数据库表清单	序号 所属模块名称 数据库名 数据表 数据表名称 数据量 事项状态 备注说明
日志平台对接	"日志平台对接，链路追踪，形成全局流水号，如果阿里的支持无法预测，启动备用开源链路追踪方案
实现日志收集，服务链路追踪，交易链路追踪功能"
数据库分片方案与执行--方案编写及评审	依据数据量，业务场景，增长速度、OB（MySQL）最佳使用手册等维度讨论商定，编写详细分片方案以及评审
应用安全漏洞扫描	"与行内沟通代码漏洞扫描，确定哪些漏洞必须修复，哪些无需关心
数据安全扫描（农信什么要求先确认），尽早执行，否则后期压力太大"
应用中的流水号、合同编号等编号类生成规则是否统一，是否都统一在参数中进行维护管理	梳理目前所有项目中的使用编号，流水号等内容，生成规则是否与需求一致。
数据迁移标识	在每个应用数据库中需进行数据迁移表增加数据迁移标识，便于修数使用
数据库索引比对验证	"3-增加日常比对范畴
4-索引修改后验证"
数据库清理策略	对X年前已完结数据清理到历史表，这些数据页面功能是查不到的，数据库历史表中存在
数据库归档策略	对X年前已做数据清理的历史表数据进行归档离线，这些数据页面功能是查不到的，数据库历史表中也会不存在，如果需要查看，需要走调阅流程
天元网关接口配置整理维护进基础库	公共组提供表格模板，梳理天元网关接口配置项，需要初始化哪些表，基础数据项内容。
流程引擎配置整理维护进基础库	公共组提供表格模板，对系统中的流程引擎配置及初始化表内容进行梳理，最终哪些表需要进行初始化，哪些配置需要初始化。
规则引擎配置整理维护进基础库	公共组提供表格模板，对系统中的规则引擎配置及初始化表内容进行梳理，最终哪些表需要进行初始化，哪些配置需要初始化。
数据字典项统一维护进基础库	对系统管理中的用户、角色、权限、数据字典项统一进行上收管理
